time;angle;angular velocity;angular acceleration
17.7000000000;-0.6481446262;-0.3376370958;0.5763918610
17.8000000000;-0.6788897942;-0.3067830973;0.6037083319
17.9000000000;-0.7064284570;-0.2747934453;0.6279293709
18.0000000000;-0.7306621961;-0.2418178921;0.6491210974
18.1000000000;-0.7515071706;-0.2080019709;0.6673629403
18.2000000000;-0.7688936638;-0.1734868384;0.6827407654
18.3000000000;-0.7827656449;-0.1384094183;0.6953405622
18.4000000000;-0.7930803724;-0.1029028027;0.7052428615
18.5000000000;-0.7998080626;-0.0670968695;0.7125180045
18.6000000000;-0.8029316378;-0.0311190636;0.7172223536
18.7000000000;-0.8024465667;0.0049047060;0.7193954971
18.8000000000;-0.7983608037;0.0408491077;0.7190584817
18.9000000000;-0.7906948275;0.0765884179;0.7162130886
19.0000000000;-0.7794817749;0.1119955937;0.7108421520
19.1000000000;-0.7647676610;0.1469414393;0.7029109116
19.2000000000;-0.7466116702;0.1812939146;0.6923693746
19.3000000000;-0.7250865005;0.2149176347;0.6791556487
19.4000000000;-0.7002787361;0.2476736037;0.6632001858
19.5000000000;-0.6722892215;0.2794192209;0.6444308513
19.6000000000;-0.6412334059;0.3100085921;0.6227786997
19.7000000000;-0.6072416252;0.3392931687;0.5981842965
19.8000000000;-0.5704592864;0.3671227260;0.5706043871
19.9000000000;-0.5310469205;0.3933466789;0.5400186655
20.0000000000;-0.4891800708;0.4178157193;0.5064363544
20.1000000000;-0.4450489875;0.4403837395;0.4699022796
20.2000000000;-0.3988581030;0.4609099922;0.4305020964
20.3000000000;-0.3508252721;0.4792614193;0.3883663319
20.4000000000;-0.3011807656;0.4953150667;0.3436729287
20.5000000000;-0.2501660188;0.5089604921;0.2966480288
20.6000000000;-0.1980321455;0.5201020649;0.2475648135
20.7000000000;-0.1450382374;0.5286610560;0.1967403189
20.8000000000;-0.0914494805;0.5345774213;0.1445302657
20.9000000000;-0.0375351280;0.5378111931;0.0913220683
21.0000000000;0.0164336229;0.5383434115;0.0375263148
21.1000000000;0.0701857996;0.5361765506;-0.0164328832
21.2000000000;0.1234528137;0.5313344201;-0.0701281907
21.3000000000;0.1759705584;0.5238615477;-0.1231394702
21.4000000000;0.2274813942;0.5138220791;-0.1750637900
21.5000000000;0.2777359795;0.5012982500;-0.2255245212
21.6000000000;0.3264949090;0.4863885081;-0.2741790930
21.7000000000;0.3735301345;0.4692053752;-0.3207250802
21.8000000000;0.4186261499;0.4498731472;-0.3649044128
21.9000000000;0.4615809365;0.4285255299;-0.4065056213
22.0000000000;0.5022066688;0.4053033066;-0.4453641537
22.1000000000;0.5403301949;0.3803521205;-0.4813609038
22.2000000000;0.5757933111;0.3538204452;-0.5144191746
22.3000000000;0.6084528538;0.3258577995;-0.5445003600
22.4000000000;0.6381806404;0.2966132464;-0.5715986597
22.5000000000;0.6648632893;0.2662342010;-0.5957351532
22.6000000000;0.6884019517;0.2348655557;-0.6169515470
22.7000000000;0.7087119878;0.2026491178;-0.6353038816
22.8000000000;0.7257226174;0.1697233439;-0.6508564513
22.9000000000;0.7393765710;0.1362233440;-0.6636761482
23.0000000000;0.7496297684;0.1022811228;-0.6738273979
23.1000000000;0.7564510416;0.0680260187;-0.6813678190
23.2000000000;0.7598219200;0.0335852982;-0.6863446991
23.3000000000;0.7597364880;-0.0009151408;-0.6887923554
23.4000000000;0.7562013218;-0.0353500030;-0.6887304182
23.5000000000;0.7492355062;-0.0695938144;-0.6861630625
23.6000000000;0.7388707288;-0.1035201747;-0.6810791893
23.7000000000;0.7251514436;-0.1370010891;-0.6734535506
23.8000000000;0.7081350907;-0.1699064239;-0.6632487905
23.9000000000;0.6878923565;-0.2021035302;-0.6504183623
24.0000000000;0.6645074522;-0.2334570731;-0.6349102580
24.1000000000;0.6380783876;-0.2638291006;-0.6166714638
24.2000000000;0.6087172124;-0.2930793794;-0.5956530226
24.3000000000;0.5765501967;-0.3210660161;-0.5718155548
24.4000000000;0.5417179199;-0.3476463726;-0.5451350499
24.5000000000;0.5043752391;-0.3726782713;-0.5156087070
24.6000000000;0.4646911091;-0.3960214745;-0.4832605711
24.7000000000;0.4228482282;-0.4175394056;-0.4481466867
24.8000000000;0.3790424902;-0.4371010673;-0.4103594813
24.9000000000;0.3334822280;-0.4545830960;-0.3700310941
25.0000000000;0.2863872415;-0.4698718823;-0.3273353923
25.1000000000;0.2379876109;-0.4828656755;-0.2824884628
25.2000000000;0.1885223062;-0.4934765866;-0.2357474365
25.3000000000;0.1382376096;-0.5016324035;-0.1874075877
25.4000000000;0.0873853805;-0.5072781367;-0.1377977517
25.5000000000;0.0362211958;-0.5103772226;-0.0872742075
25.6000000000;-0.0149975929;-0.5109123291;-0.0362132761
25.7000000000;-0.0660138406;-0.5088857240;0.0149970306
25.8000000000;-0.1165725835;-0.5043191901;0.0659659049
25.9000000000;-0.1664229588;-0.4972534933;0.1163087421
26.0000000000;-0.2153200291;-0.4877474315;0.1656557969
26.1000000000;-0.2630264719;-0.4758765114;0.2136600783
26.2000000000;-0.3093141024;-0.4617313187;0.2600041222
26.3000000000;-0.3539652075;-0.4454156573;0.3044053614
26.4000000000;-0.3967736737;-0.4270445400;0.3466199097
26.5000000000;-0.4375459043;-0.4067421140;0.3864446774
26.6000000000;-0.4761015265;-0.3846396051;0.4237178375
26.7000000000;-0.5122738983;-0.3608733500;0.4583177490
26.8000000000;-0.5459104307;-0.3355829844;0.4901605153
26.9000000000;-0.5768727471;-0.3089098327;0.5191964097
27.0000000000;-0.6050367032;-0.2809955404;0.5454054310
27.1000000000;-0.6302922959;-0.2519809692;0.5687922643
27.2000000000;-0.6525434882;-0.2220053653;0.5893809159
27.3000000000;-0.6717079784;-0.1912057996;0.6072092758
27.4000000000;-0.6877169392;-0.1597168652;0.6223238311
27.5000000000;-0.7005147521;-0.1276706124;0.6347747233
27.6000000000;-0.7100587568;-0.0951966916;0.6446113060
27.7000000000;-0.7163190343;-0.0624226703;0.6518783288
27.8000000000;-0.7192782372;-0.0294744861;0.6566128400
27.9000000000;-0.7189314764;0.0035230046;0.6588418748
28.0000000000;-0.7152862711;0.0364454250;0.6585809735
28.1000000000;-0.7083625608;0.0691682660;0.6558335512
28.2000000000;-0.6981927786;0.1015663072;0.6505911263
28.3000000000;-0.6848219759;0.1335131127;0.6428343968
28.4000000000;-0.6683079889;0.1648806413;0.6325351362
28.5000000000;-0.6487216305;0.1955390101;0.6196588638
28.6000000000;-0.6261468883;0.2253564422;0.6041682222
28.7000000000;-0.6006811093;0.2541994293;0.5860269721
28.8000000000;-0.5724351439;0.2819331301;0.5652044861
28.9000000000;-0.5415334279;0.3084220171;0.5416805967
29.0000000000;-0.5081139731;0.3335307780;0.5154506211
29.1000000000;-0.4723282435;0.3571254628;0.4865303600
29.2000000000;-0.4343408930;0.3790748600;0.4549608441
29.3000000000;-0.3943293441;0.3992520694;0.4208125855
29.4000000000;-0.3524831917;0.4175362296;0.3841890892
29.5000000000;-0.3090034218;0.4338143452;0.3452293904
29.6000000000;-0.2641014402;0.4479831508;0.3041094102
29.7000000000;-0.2179979153;0.4599509394;0.2610419692
29.8000000000;-0.1709214445;0.4696392842;0.2162753576
29.9000000000;-0.1231070639;0.4769845781;0.1700904388
30.0000000000;-0.0747946244;0.4819393247;0.1227963444
